PR,PK,Longitude,Latitude
38.0,1280.0,20518366.898844,5524605.602251
38.0,1285.0,20518397.453784,5524565.998694
38.0,1290.0,20518428.298731,5524525.84017
38.0,1295.0,20518460.216369,5524487.576355
38.0,1300.0,20518490.198102,5524447.748904
38.0,1305.0,20518521.260158,5524407.591657
38.0,1310.0,20518552.53114,5524369.548615
38.0,1315.0,20518583.376437,5524329.947112
38.0,1320.0,20518617.018879,5524292.691219
38.0,1335.0,20518706.974808,5524172.433429
38.0,1330.0,20518675.917741,5524210.365092
38.0,1235.0,20518090.760035,5524966.017004
38.0,1355.0,20518830.651127,5524015.256528
38.0,1365.0,20518887.607338,5523934.927996
38.0,1370.0,20518918.376261,5523897.997578
38.0,1375.0,20518949.954376,5523856.064986
38.0,1380.0,20518982.522262,5523819.141266
38.0,1385.0,20519012.79963,5523779.206533
38.0,1390.0,20519041.92429,5523739.935253
38.0,1395.0,20519073.927954,5523700.229423
38.0,1400.0,20519107.004261,5523662.418442
38.0,1405.0,20519135.627937,5523622.812209
36.0,1405.0,20518977.971034,5523498.347759
36.0,1400.0,20518948.476914,5523540.176285
36.0,1395.0,20518918.862846,5523575.330958
36.0,1390.0,20518888.082734,5523614.930764
36.0,1385.0,20518857.379283,5523653.307522
36.0,1380.0,20518825.951959,5523693.127869
36.0,1375.0,20518795.100884,5523732.839183
36.0,1370.0,20518764.251424,5523772.217
36.0,1365.0,20518734.69936,5523810.932148
36.0,1360.0,20518702.341173,5523850.082615
36.0,1355.0,20518671.564207,5523889.683667
36.0,1350.0,20518641.217684,5523929.73129
36.0,1345.0,20518611.73659,5523969.225944
36.0,1340.0,20518580.607119,5524007.157896
36.0,1335.0,20518549.827338,5524048.094351
36.0,1310.0,20518397.042694,5524244.441072
34.0,1310.0,20518237.078601,5524122.103578
34.0,1335.0,20518390.29045,5523926.309968
34.0,1340.0,20518421.065895,5523886.484864
34.0,1345.0,20518450.828769,5523848.436089
34.0,1350.0,20518481.460873,5523808.722065
34.0,1355.0,20518513.603834,5523769.01341
34.0,1360.0,20518543.875693,5523729.743407
34.0,1365.0,20518574.728381,5523689.029632
34.0,1370.0,20518603.633003,5523650.200153
34.0,1375.0,20518636.420903,5523611.71795
34.0,1380.0,20518666.768002,5523572.003991
34.0,1385.0,20518697.112842,5523533.068779
34.0,1390.0,20518728.53897,5523493.581368
34.0,1395.0,20518758.59543,5523455.090405
34.0,1400.0,20518790.671761,5523415.049487
34.0,1405.0,20518820.95072,5523374.89125
40.0,1330.0,20518833.131033,5524334.263245
40.0,1325.0,20518800.478244,5524376.08155
40.0,1320.0,20518771.148813,5524413.685028
40.0,1315.0,20518738.069751,5524454.278731
40.0,1310.0,20518708.591937,5524493.439206
40.0,1305.0,20518676.522943,5524533.369436
40.0,1300.0,20518646.325714,5524572.861435
40.0,1295.0,20518615.337884,5524612.350868
40.0,1290.0,20518583.056467,5524651.724785
40.0,1285.0,20518553.222441,5524690.551199
40.0,1280.0,20518522.811637,5524729.931925
40.0,1275.0,20518491.249175,5524769.753773
40.0,1270.0,20518461.056907,5524808.579465
40.0,1265.0,20518429.709945,5524848.736093
40.0,1260.0,20518399.731624,5524888.341448
40.0,1255.0,20518368.533953,5524927.16422
40.0,1250.0,20518338.048988,5524967.991682
40.0,1245.0,20518306.353027,5525005.589622
40.0,1240.0,20518275.443575,5525044.636366
40.0,1235.0,20518246.0431,5525084.133311
40.0,1230.0,20518214.412459,5525124.067774
40.0,1405.0,20519293.578413,5523743.61191
